total_seconds,cell_id
49080,27245
49080,73710
49080,141793
49080,142206
49080,141470
49080,141810
49080,141074
49080,75862
49080,61570
49080,141464
49080,56870
49080,142477
49080,141490
49080,142069
49080,84621
49080,84983
49080,142138
49080,141439
49080,100226
49080,25480
49080,142509
49080,89701
49080,142480
49080,94777
49080,141459
49080,140709
49080,84983
49080,114876
49080,142092
49080,70293
49080,142422
49080,142132
49080,142146
49080,51423
49080,94414
49080,142514
49080,85564
49080,76202
49080,81085
49080,142551
49080,141011
49080,142588
49080,100226
49080,73710
49080,142161
49080,25480
49080,142155
49080,73710
49080,139977
49080,89694
49080,141049
49080,79500
49080,94777
49080,141020
49080,142149
49080,82196
49080,142112
49080,141408
49080,56870
49080,25480
49080,141770
49080,141031
49080,88247
49080,141428
49080,139525
49080,142509
49080,140327
49080,39597
49140,55677
49140,103887
49140,140681
49140,142152
49140,141445
49140,142520
